location,total_cases,new_cases,total_deaths,total_vaccinations,people_vaccinated,total_boosters
World,276436261.2700604,654683.5051724138,3824867.8662033016,7926971188.7626505,3613782766.1831326,1182958179.9227896
High income,151210385.2502157,359270.25,1581811.9794459338,1778004058.2361445,750013316.226506,376438552.70875
Upper middle income,74461786.09145816,208902.3922413793,1496816.0625543005,3499492392.376989,1468357422.1444309,589217843.9863014
Europe,93504481.05780846,212732.72672413793,1136509.364368845,902152782.3361446,388110179.1915663,176590112.4
North America,55310434.02537183,105784.61034482758,945422.034451496,740222884.4315404,337936503.6136919,123436734.11372548
South America,34628296.56561086,58621.2,867693.9890710382,584767942.2648515,265006378.08415842,109782482.1033624
Asia,84934643.75150992,254179.4948275862,829841.7567332754,5423894596.277845,2437305394.5569158,806967825.7768817
Lower middle income,49962257.64736842,83496.95086206896,775245.392920354,2733473724.7046895,1410258644.5589354,296081992.67642
European Union,66223344.03192407,157311.3448275862,701033.284691137,619375137.0350242,258688849.4625604,136927470.64661655
United States,46232664.832021,88372.85393258427,642277.063463282,455788894.97668713,209705280.13006136,53826190.349565215
Brazil,19032153.095022626,32045.484874675887,447597.36900369,288514990.81395346,133768560.35672514,73750529.48214285
India,25593151.994704325,38624.99654278306,333337.75688073394,1344425257.8102095,718210762.9188482,122848700.3673966
Mexico,3596769.872972973,6451.341968911917,230670.30378578024,80852333.27228916,45943680.76600985,52594355.73913044
Russia,9439235.42844523,19279.08620689655,208468.95264623954,104993401.05781585,52909746.79565217,10888639.583969466
Africa,7053031.559928443,11254.318103448275,158519.45992714027,352238637.9517766,224222510.11928934,33513994.54233871
